Name,Age,Birth Year,Origin,Height,Weight,Category,Wins,Losses,Special Skills,Weapon of Choice,Patron Wealth,Equipment Quality,Public Favor,Injury History,Mental Resilience,Diet and Nutrition,Tactical Knowledge,Allegiance Network,Battle Experience,Psychological Profile,Health Status,Personal Motivation,Previous Occupation,Training Intensity,Battle Strategy,Social Standing,Crowd Appeal Techniques,Survived
Aelius Verus,32,97,Gaul,195,85,Thraex,11,4,Novice,Sica (Curved Sword),Low,Basic,0.8418416444128592,High,1.005452206097853,Poor,Intermediate,Strong,15,Fearful,Good,Glory,Unemployed,Medium,Balanced,Medium,Flamboyant,False
Cocceius Galerius,20,32,Gaul,173,66,Hoplomachus,7,2,Speed,Dagger,Low,Basic,0.6510439186709568,Low,5.9300442721443805,Poor,Advanced,Moderate,9,Fearful,Excellent,Wealth,Criminal,High,Balanced,Low,Humble,True
Pedius Furius,30,66,Gaul,170,67,Hoplomachus,6,0,Tactics,Dagger,High,Superior,0.5938160475455326,Low,3.724350392632072,Excellent,Advanced,Strong,6,Stoic,Excellent,Freedom,Criminal,Low,Aggressive,Medium,Intimidating,True
Maximian Maecenas,28,43,Gaul,189,104,Hoplomachus,6,2,Endurance,Dagger,High,Superior,0.5408147520434307,Low,3.1013341509417374,Excellent,Expert,Strong,8,Calculative,Excellent,Survival,Laborer,Low,Balanced,Low,Charismatic,False
Celsus Laronius,41,126,Rome,173,85,Hoplomachus,12,4,Novice,Dagger,Medium,Standard,0.7616513151975801,High,4.33588896115399,Adequate,Intermediate,Strong,16,Calculative,Fair,Survival,Unemployed,Low,Aggressive,High,Intimidating,False
Priscus Junius,33,26,Thrace,166,41,Retiarius,12,2,Tactics,Net,High,Superior,0.901986189468888,High,7.340470974336723,Excellent,Advanced,Strong,14,Calculative,Good,Wealth,Unemployed,Low,Balanced,Medium,Charismatic,True
Paconius Salvidienus,33,126,Numidia,171,85,Murmillo,6,3,Novice,Dagger,Medium,Standard,0.49019425195048,Low,4.531604778183227,Adequate,Intermediate,Moderate,9,Stoic,Excellent,Freedom,Laborer,Medium,Balanced,Medium,Intimidating,False
Cassius Nero,32,65,Greece,198,93,Hoplomachus,13,8,Strength,Spear,Medium,Standard,0.602567903424646,High,1.9713791196864936,Adequate,Advanced,Moderate,21,Fearful,Good,Wealth,Entertainer,Medium,Balanced,Medium,Humble,False
Quintilianus Avidius,26,132,Rome,184,93,Thraex,7,2,Tactics,Dagger,Medium,Standard,0.6976800233107568,Low,2.8811389488769765,Adequate,Advanced,Moderate,9,Stoic,Excellent,Freedom,Criminal,Low,Balanced,Medium,Charismatic,False
Vespasian Candidus,25,143,Thrace,179,69,Murmillo,12,3,Novice,Dagger,Low,Basic,0.9197327180712852,Low,7.489698766643501,Poor,Intermediate,Strong,15,Stoic,Excellent,Survival,Criminal,Medium,Aggressive,High,Charismatic,True
Sergius Mamilius,27,174,Thrace,175,79,Hoplomachus,7,3,Novice,Dagger,High,Superior,0.601246110795472,Low,7.315908958346006,Excellent,Basic,Strong,10,Calculative,Excellent,Glory,Unemployed,Low,Balanced,Medium,Charismatic,True
Iuventius Ingenuus,29,196,Numidia,189,75,Murmillo,8,0,Strength,Gladius (Sword),Low,Basic,0.8358193426452392,Low,9.289650138771275,Poor,Advanced,Strong,8,Stoic,Excellent,Glory,Entertainer,Low,Defensive,High,Charismatic,True
Marcellus Pompeius,40,189,Gaul,191,89,Retiarius,15,2,Endurance,Trident,Low,Basic,0.8213024603601864,Low,3.491860091935497,Poor,Advanced,Strong,17,Stoic,Good,Survival,Criminal,Medium,Balanced,Medium,Humble,True
Quintilianus Primitivus,23,124,Numidia,169,70,Hoplomachus,4,0,Tactics,Spear,Medium,Standard,0.6411572273303568,Low,4.327983176954525,Adequate,Expert,Moderate,4,Aggressive,Excellent,Freedom,Entertainer,High,Balanced,Medium,Charismatic,True
Manilius Publius,35,41,Gaul,178,52,Hoplomachus,6,0,Speed,Dagger,High,Superior,0.7297359496715441,Low,1.200631159128552,Excellent,Advanced,Strong,6,Stoic,Excellent,Glory,Unemployed,Low,Balanced,Low,Flamboyant,False
Domitius Bonifacius,41,85,Rome,180,64,Provocator,9,4,Novice,Dagger,Low,Basic,0.6981526304525167,Low,1.2620261831004125,Poor,Intermediate,Moderate,13,Calculative,Good,Wealth,Criminal,Low,Aggressive,Medium,Intimidating,False
Servius Sergian,26,70,Rome,192,50,Provocator,8,2,Novice,Dagger,High,Superior,0.7506201681898742,High,5.223339500400867,Excellent,Intermediate,Strong,10,Aggressive,Excellent,Vengeance,Unemployed,Low,Balanced,Medium,Flamboyant,True
Celsus Cordius,41,95,Numidia,173,111,Murmillo,11,3,Speed,Dagger,Medium,Standard,0.7257125836722538,Low,2.097053721223686,Adequate,Advanced,Strong,14,Stoic,Good,Wealth,Unemployed,Low,Aggressive,High,Flamboyant,False
Minicius Cominius,31,84,Gaul,171,83,Secutor,12,1,Speed,Dagger,Low,Basic,0.9638895876697658,High,5.181514929327828,Poor,Expert,Strong,13,Aggressive,Good,Glory,Criminal,Medium,Balanced,Medium,Charismatic,True
Nerva Vincentius,43,35,Gaul,163,86,Murmillo,13,6,Novice,Dagger,Medium,Standard,0.7710403516984403,Low,5.5516155841649,Adequate,Intermediate,Strong,19,Calculative,Good,Freedom,Criminal,Medium,Aggressive,Medium,Charismatic,True
